Protein	Start Site,,End Site,,Family,,Description
Q5HFK9	1,,49,,MF_00294,,Ribosomal_L33,,50S ribosomal protein L33 [rpmG]
Q5HFM3	3,,446,,MF_00712,,GcvPA,,Probable glycine dehydrogenase (decarboxylating) subunit 1 [gcvPA]
Q5HFM4	7,,485,,MF_00713,,GcvPB,,Probable glycine dehydrogenase (decarboxylating) subunit 2 [gcvPB]
Q5HFR2	N/A,,N/A,,N/A,,N/A
Q5HFS5	3,,295,,MF_01808,,Recomb_XerC_XerD,,Tyrosine recombinase XerC [xerC]
Q5HFU2	N/A,,N/A,,N/A,,N/A
Q5HFV0	N/A,,N/A,,N/A,,N/A
Q5HFV4	1,,136,,MF_00451,,NDP_kinase,,Nucleoside diphosphate kinase [ndk]
Q5HFV7	1,,370,,MF_00300,,Chorismate_synth,,Chorismate synthase [aroC]
Q5HFX8	1,,114,,MF_02011,,GpsB,,Cell cycle protein GpsB [gpsB]
Q5HG06	1,,931,,MF_01169,,SucA_OdhA,,2-oxoglutarate dehydrogenase E1 component [odhA]
Q5HG07	N/A,,N/A,,N/A,,N/A
Q5HG66	5,,200,,MF_01043,,PlsY,,Glycerol-3-phosphate acyltransferase [plsY]
Q5HG69	N/A,,N/A,,N/A,,N/A
Q5HG77	N/A,,N/A,,N/A,,N/A
Q5HG86	N/A,,N/A,,N/A,,N/A
Q5HGC3	N/A,,N/A,,N/A,,N/A
Q5HGF7	4,,697,,MF_01595,,PNPase,,Polyribonucleotide nucleotidyltransferase [pnp]
Q5HGG2	3,,705,,MF_00100_B,,IF_2,,Translation initiation factor IF-2 [infB]
Q5HGH4	1,,292,,MF_00050,,EF_Ts,,Elongation factor Ts, mitochondrial [TSFM]
Q5HGH6	2,,225,,MF_00291_B,,Ribosomal_S2,,30S ribosomal protein S2 [rpsB]
Q5HGI6	1,,288,,MF_01988,,Succ_CoA_alpha,,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial [SUCLG1]
Q5HGI7	1,,386,,MF_00558,,Succ_CoA_beta,,Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial
Q5HGK2	N/A,,N/A,,N/A,,N/A
Q5HGK9	1,,62,,MF_00373,,Ribosomal_L28,,50S ribosomal protein L28 [rpmB]
Q5HGL4	18,,360,,MF_01849,,RNA_methyltr_RlmN,,Dual-specificity RNA methyltransferase RlmN [rlmN]
Q5HGN8	1,,914,,MF_02002,,Ile_tRNA_synth_type1,,Isoleucine--tRNA ligase [ileS]
Q5HGP5	9,,386,,MF_00909,,FtsZ,,Cell division protein FtsZ [ftsZ]
Q5HGP8	10,,440,,MF_00639,,MurD,,UDP-N-acetylmuramoylalanine--D-glutamate ligase [murD]
Q5HGP9	1,,320,,MF_00038,,MraY,,Phospho-N-acetylmuramoyl-pentapeptide-transferase [mraY]
Q5HGQ5	1,,146,,MF_00824,,Acetyltransf_YlbP,,Uncharacterized N-acetyltransferase 
Q5HGV5	N/A,,N/A,,N/A,,N/A
Q5HGY8	N/A,,N/A,,N/A,,N/A
Q5HGY9	N/A,,N/A,,N/A,,N/A
Q5HGZ0	N/A,,N/A,,N/A,,N/A
Q5HGZ1	N/A,,N/A,,N/A,,N/A
Q5HH02	N/A,,N/A,,N/A,,N/A
Q5HH21	3,,282,,MF_01576,,THF_DHG_CYH,,Bifunctional protein FolD [folD]
Q5HH25	N/A,,N/A,,N/A,,N/A
Q5HH38	6,,272,,MF_01934,,MenB,,1,4-dihydroxy-2-naphthoyl-CoA synthase [menB]
Q5HH78	1,,264,,MF_00361,,NAD_kinase,,NAD kinase [nadK]
Q5HH86	1,,234,,MF_01124,,MecA,,Adapter protein MecA [mecA]
Q5HH88	1,,326,,MF_00140_B,,Trp_tRNA_synth,,Tryptophan--tRNA ligase [trpS]
Q5HHA2	1,,311,,MF_01815,,FabH,,3-oxoacyl-[acyl-carrier-protein] synthase 3 [fabH]
Q5HHB0	N/A,,N/A,,N/A,,N/A
Q5HHC2	1,,430,,MF_00473,,G6P_isomerase,,Glucose-6-phosphate isomerase [pgi]
Q5HHC7	N/A,,N/A,,N/A,,N/A
Q5HHG0	1,,297,,MF_00206,,Lipoyl_synth,,Lipoyl synthase, organellar chromatophore [LIAS]
Q5HHG4	N/A,,N/A,,N/A,,N/A
Q5HHH4	N/A,,N/A,,N/A,,N/A
Q5HHP1	2,,417,,MF_00318,,Enolase,,Enolase [eno]
Q5HHP3	2,,251,,MF_00147_B,,TIM,,Triosephosphate isomerase [tpiA]
Q5HHP5	N/A,,N/A,,N/A,,N/A
Q5HHR0	7,,662,,MF_00204,,UvrB,,UvrABC system protein B [uvrB]
Q5HHR8	2,,188,,MF_00839,,HPF,,Ribosome hibernation promoting factor [hpf]
Q5HHS7	2,,404,,MF_00550,,Aminopeptidase_M20,,Peptidase T [pepT]
Q5HHY2	N/A,,N/A,,N/A,,N/A
Q5HI51	N/A,,N/A,,N/A,,N/A
Q5HI88	N/A,,N/A,,N/A,,N/A
Q5HI89	1,,249,,MF_01442,,UPF0447,,Putative heme-dependent peroxidase 
Q5HIA5	N/A,,N/A,,N/A,,N/A
Q5HIC2	N/A,,N/A,,N/A,,N/A
Q5HIC7	1,,394,,MF_00118_B,,EF_Tu,,Elongation factor Tu [tuf]
Q5HIC8	6,,690,,MF_00054_B,,EF_G_EF_2,,Elongation factor G [fusA]
Q5HIC9	1,,156,,MF_00480_B,,Ribosomal_S7,,30S ribosomal protein S7 [rpsG]
Q5HID2	N/A,,N/A,,N/A,,N/A
Q5HID3	15,,1147,,MF_01321,,RNApol_bact_RpoB,,DNA-directed RNA polymerase subunit beta [rpoB]
Q5HID7	2,,229,,MF_01318_B,,Ribosomal_L1,,50S ribosomal protein L1 [rplA]
Q5HID8	5,,140,,MF_00736,,Ribosomal_L11,,50S ribosomal protein L11 [rplK]
Q5HIE7	4,,484,,MF_00022,,Glu_tRNA_synth_type1,,Glutamate--tRNA ligase [gltX]
Q5HIF2	N/A,,N/A,,N/A,,N/A
Q5HIF5	5,,295,,MF_01824,,PdxS,,Pyridoxal 5'-phosphate synthase subunit PdxS [pdxS]
Q5HIF7	11,,495,,MF_00252,,Lys_tRNA_synth_class2,,Lysine--tRNA ligase [lysS]
Q5HIH4	2,,182,,MF_01334,,Ribosomal_L25_CTC,,50S ribosomal protein L25 [rplY]
Q5HIH8	1,,92,,MF_00819,,SpoVG,,Putative septation protein SpoVG [spoVG]
Q5HIJ5	3,,202,,MF_00165,,Thymidylate_kinase,,Thymidylate kinase [tmk]
Q5HIJ8	5,,99,,MF_00274,,DNA_YbaB_EbfC,,Nucleoid-associated protein YbaB [ybaB]
Q5HIQ7	10,,488,,MF_01964,,IMPDH,,Inosine-5'-monophosphate dehydrogenase [IMPDH]
Q5HIS8	2,,107,,MF_00984,,SSB,,Single-stranded DNA-binding protein
Q5HIT8	4,,742,,MF_00172,,Meth_synth,,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [metE]
Q5HJ86	N/A,,N/A,,N/A,,N/A
Q5HJI0	N/A,,N/A,,N/A,,N/A
Q5HJM9	5,,388,,MF_00740,,Phosphopentomut,,Phosphopentomutase [deoB]
Q5HJR8	N/A,,N/A,,N/A,,N/A
Q5HJU7	N/A,,N/A,,N/A,,N/A
Q5HJZ0	6,,812,,MF_01897,,GyrA,,DNA gyrase subunit A [gyrA]
Q5HJZ6	N/A,,N/A,,N/A,,N/A
Q5SH27	1,,269,,MF_02082,,LysZ,,[LysW]-aminoadipate/[LysW]-glutamate kinase [lysZ]
Q5SH98	N/A,,N/A,,N/A,,N/A
Q5SHB2	5,,330,,MF_00268,,RecA,,Protein RecA [recA]
Q5SHD1	N/A,,N/A,,N/A,,N/A
Q5SHF7	N/A,,N/A,,N/A,,N/A
Q5SHQ9	5,,185,,MF_00235,,Adenylate_kinase_Adk,,Adenylate kinase [adk]
Q5SHV2	N/A,,N/A,,N/A,,N/A
Q5SI56	3,,406,,MF_00051,,SHMT,,Serine hydroxymethyltransferase [glyA]
Q5SI59	1,,229,,MF_00137,,SAICAR_synth,,Phosphoribosylaminoimidazole-succinocarboxamide synthase [purC]
Q5SI61	N/A,,N/A,,N/A,,N/A
Q5SIE6	N/A,,N/A,,N/A,,N/A
Q5SIH4	N/A,,N/A,,N/A,,N/A
Q5SIL2	N/A,,N/A,,N/A,,N/A
Q5SIY7	1,,328,,MF_00140_B,,Trp_tRNA_synth,,Tryptophan--tRNA ligase [trpS]
Q5SJ45	3,,862,,MF_02004,,Val_tRNA_synth_type1,,Valine--tRNA ligase [valS]
Q5SJ72	N/A,,N/A,,N/A,,N/A
Q5SJ94	3,,277,,MF_01576,,THF_DHG_CYH,,Bifunctional protein FolD [folD]
Q5SJB8	10,,223,,MF_01408,,ThyX,,Flavin-dependent thymidylate synthase [thyX]
Q5SJC3	N/A,,N/A,,N/A,,N/A
Q5SJE8	1,,223,,MF_00494,,Transaldolase_3b,,Probable transaldolase [tal]
Q5SJE9	1,,426,,MF_01884,,Rho,,Transcription termination factor Rho [rho]
Q5SJP2	N/A,,N/A,,N/A,,N/A
Q5SK59	N/A,,N/A,,N/A,,N/A
Q5SKC3	N/A,,N/A,,N/A,,N/A
Q5SKH7	N/A,,N/A,,N/A,,N/A
Q5SKH9	N/A,,N/A,,N/A,,N/A
Q5SKJ3	N/A,,N/A,,N/A,,N/A
Q5SKV1	N/A,,N/A,,N/A,,N/A
Q5SKV6	1,,287,,MF_01988,,Succ_CoA_alpha,,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial [SUCLG1]
Q5SKV7	1,,325,,MF_01517,,Malate_dehydrog_2,,Malate dehydrogenase [mdh]
Q5SKV9	N/A,,N/A,,N/A,,N/A
Q5SKW6	N/A,,N/A,,N/A,,N/A
Q5SL35	3,,208,,MF_00238,,Cytidyl_kinase_type1,,Cytidylate kinase [cmk]
Q5SL36	10,,426,,MF_00210,,EPSP_synth,,3-phosphoshikimate 1-carboxyvinyltransferase [aroA]
Q5SLE0	N/A,,N/A,,N/A,,N/A
Q5SLM2	1,,541,,MF_00600,,CH60,,60 kDa chaperonin [groL]
Q5SM04	N/A,,N/A,,N/A,,N/A
Q5SM05	N/A,,N/A,,N/A,,N/A
Q5SM21	N/A,,N/A,,N/A,,N/A
Q5SM27	16,,397,,MF_01402_B,,ApgM,,2,3-bisphosphoglycerate-independent phosphoglycerate mutase [apgM]
Q5W264	N/A,,N/A,,N/A,,N/A
Q6MWW6	N/A,,N/A,,N/A,,N/A
Q6MWW7	N/A,,N/A,,N/A,,N/A
Q6MWZ4	N/A,,N/A,,N/A,,N/A
Q6MWZ8	N/A,,N/A,,N/A,,N/A
Q6MX13	N/A,,N/A,,N/A,,N/A
Q6MX17	N/A,,N/A,,N/A,,N/A
Q6MX28	N/A,,N/A,,N/A,,N/A
Q6MX43	N/A,,N/A,,N/A,,N/A
Q6N0G2	N/A,,N/A,,N/A,,N/A
Q6N0G9	N/A,,N/A,,N/A,,N/A
Q6N0K2	N/A,,N/A,,N/A,,N/A
Q6N0L2	N/A,,N/A,,N/A,,N/A
Q6N0T2	N/A,,N/A,,N/A,,N/A
Q6N122	N/A,,N/A,,N/A,,N/A
Q6N184	N/A,,N/A,,N/A,,N/A
Q6N205	N/A,,N/A,,N/A,,N/A
Q6N2W9	N/A,,N/A,,N/A,,N/A
Q6N387	N/A,,N/A,,N/A,,N/A
Q6N4H8	N/A,,N/A,,N/A,,N/A
Q6N4I2	N/A,,N/A,,N/A,,N/A
Q6N4Q4	1,,396,,MF_00118_B,,EF_Tu,,Elongation factor Tu [tuf]
Q6N4Y2	N/A,,N/A,,N/A,,N/A
Q6N4Z3	N/A,,N/A,,N/A,,N/A
Q6N5C3	3,,138,,MF_00451,,NDP_kinase,,Nucleoside diphosphate kinase [ndk]
Q6N5C6	N/A,,N/A,,N/A,,N/A
Q6N5H3	N/A,,N/A,,N/A,,N/A
Q6N5J7	N/A,,N/A,,N/A,,N/A
Q6N5K7	N/A,,N/A,,N/A,,N/A
Q6N5M1	N/A,,N/A,,N/A,,N/A
Q6N5Q2	4,,227,,MF_00291_B,,Ribosomal_S2,,30S ribosomal protein S2 [rpsB]
Q6N650	31,,160,,MF_00532_B,,Ribosomal_S9,,30S ribosomal protein S9 [rpsI]
Q6N693	17,,432,,MF_00051,,SHMT,,Serine hydroxymethyltransferase [glyA]
Q6N6B2	41,,454,,MF_00221,,NRAMP,,Divalent metal cation transporter MntH [mntH]
Q6N6I8	N/A,,N/A,,N/A,,N/A
Q6N6P1	N/A,,N/A,,N/A,,N/A
Q6N6V1	2,,186,,MF_00141,,EF_P,,Elongation factor P [efp]
Q6N706	N/A,,N/A,,N/A,,N/A
Q6N717	N/A,,N/A,,N/A,,N/A
Q6N729	N/A,,N/A,,N/A,,N/A
Q6N808	24,,524,,MF_00028,,CobQ,,Cobyric acid synthase [cobQ]
Q6N822	N/A,,N/A,,N/A,,N/A
Q6N899	N/A,,N/A,,N/A,,N/A
Q6N8A6	N/A,,N/A,,N/A,,N/A
Q6N938	N/A,,N/A,,N/A,,N/A
Q6N973	N/A,,N/A,,N/A,,N/A
Q6N9K7	N/A,,N/A,,N/A,,N/A
Q6N9L2	N/A,,N/A,,N/A,,N/A
Q6N9L5	N/A,,N/A,,N/A,,N/A
Q6N9N5	N/A,,N/A,,N/A,,N/A
Q6N9P5	N/A,,N/A,,N/A,,N/A
Q6N9Q4	N/A,,N/A,,N/A,,N/A
Q6NAH9	N/A,,N/A,,N/A,,N/A
Q6NAI0	N/A,,N/A,,N/A,,N/A
Q6NAN5	N/A,,N/A,,N/A,,N/A
Q6NAX9	N/A,,N/A,,N/A,,N/A
Q6NB88	N/A,,N/A,,N/A,,N/A
Q6NBQ6	N/A,,N/A,,N/A,,N/A
Q6NC67	N/A,,N/A,,N/A,,N/A
Q6NC89	N/A,,N/A,,N/A,,N/A
Q6NCA9	N/A,,N/A,,N/A,,N/A
Q6NCE1	N/A,,N/A,,N/A,,N/A
Q6NCN8	3,,694,,MF_01595,,PNPase,,Polyribonucleotide nucleotidyltransferase [pnp]
Q6NCP1	8,,730,,MF_01961,,Catal_peroxid,,Catalase-peroxidase [katG]
Q6NCQ5	12,,104,,MF_00634,,UPF0235,,UPF0235 protein YggU [yggU]
Q6NCW4	N/A,,N/A,,N/A,,N/A
Q6NCX7	5,,504,,MF_01038,,GpmI,,2,3-bisphosphoglycerate-independent phosphoglycerate mutase [gpmI]
Q6ND51	N/A,,N/A,,N/A,,N/A
Q6ND84	N/A,,N/A,,N/A,,N/A
Q6NDB1	N/A,,N/A,,N/A,,N/A
Q6NDB8	1,,292,,MF_01988,,Succ_CoA_alpha,,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial [SUCLG1]
Q6NDC0	N/A,,N/A,,N/A,,N/A
Q6NDC3	N/A,,N/A,,N/A,,N/A
Q6NDL1	N/A,,N/A,,N/A,,N/A
Q6NDM3	N/A,,N/A,,N/A,,N/A
Q6NDQ4	1,,195,,MF_00839,,HPF,,Ribosome hibernation promoting factor [hpf]
Q6RKB1	N/A,,N/A,,N/A,,N/A
Q6U5Y3	N/A,,N/A,,N/A,,N/A
Q6UAC2	1,,277,,MF_00103,,Fapy_DNA_glycosyl,,Formamidopyrimidine-DNA glycosylase [mutM]
Q6XKD8	N/A,,N/A,,N/A,,N/A
Q6YRP4	N/A,,N/A,,N/A,,N/A
Q6YRR4	N/A,,N/A,,N/A,,N/A
Q6YRR7	N/A,,N/A,,N/A,,N/A
Q6YRT1	N/A,,N/A,,N/A,,N/A
Q6YRT3	N/A,,N/A,,N/A,,N/A
Q6YRW6	N/A,,N/A,,N/A,,N/A
Q6YRX3	N/A,,N/A,,N/A,,N/A
Q6YS03	N/A,,N/A,,N/A,,N/A
Q6ZED5	N/A,,N/A,,N/A,,N/A
Q6ZEL7	N/A,,N/A,,N/A,,N/A
Q6ZEQ1	N/A,,N/A,,N/A,,N/A
Q6ZES1	N/A,,N/A,,N/A,,N/A
Q6ZES9	N/A,,N/A,,N/A,,N/A
Q6ZET8	N/A,,N/A,,N/A,,N/A
Q6ZEV3	N/A,,N/A,,N/A,,N/A
Q6ZEW2	N/A,,N/A,,N/A,,N/A
Q6ZEW4	N/A,,N/A,,N/A,,N/A
Q72G88	N/A,,N/A,,N/A,,N/A
Q72G91	N/A,,N/A,,N/A,,N/A
Q72GE4	2,,476,,MF_00208,,MurE,,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [murE]
Q72GG0	16,,397,,MF_01402_B,,ApgM,,2,3-bisphosphoglycerate-independent phosphoglycerate mutase [apgM]
Q72GJ2	N/A,,N/A,,N/A,,N/A
Q72GJ3	N/A,,N/A,,N/A,,N/A
Q72GJ6	5,,366,,MF_00094,,Rel_fac_2,,Peptide chain release factor 2 [prfB]
Q72GM1	N/A,,N/A,,N/A,,N/A
Q72GQ0	1,,136,,MF_00451,,NDP_kinase,,Nucleoside diphosphate kinase [ndk]
Q72GR8	N/A,,N/A,,N/A,,N/A
Q72GS2	2,,125,,MF_00368,,Ribosomal_L7_L12,,50S ribosomal protein L7/L12 [rplL]
Q72GS6	N/A,,N/A,,N/A,,N/A
Q72GW4	1,,406,,MF_00118_B,,EF_Tu,,Elongation factor Tu [tuf]
Q72GY7	8,,528,,MF_00453,,PEPCK_ATP,,Phosphoenolpyruvate carboxykinase (ATP) [pckA]
Q72H36	1,,381,,MF_00740,,Phosphopentomut,,Phosphopentomutase [deoB]
Q72H65	N/A,,N/A,,N/A,,N/A
Q72H73	N/A,,N/A,,N/A,,N/A
Q72H76	1,,333,,MF_00741,,AIRS,,Phosphoribosylformylglycinamidine cyclo-ligase [purM]
Q72H84	N/A,,N/A,,N/A,,N/A
Q72H94	N/A,,N/A,,N/A,,N/A
Q72H95	15,,174,,MF_00209,,Inorganic_PPase,,Inorganic pyrophosphatase [ppa]
Q72HJ9	N/A,,N/A,,N/A,,N/A
Q72HR6	N/A,,N/A,,N/A,,N/A
Q72HS2	N/A,,N/A,,N/A,,N/A
Q72HY1	N/A,,N/A,,N/A,,N/A
Q72I33	5,,117,,MF_01368,,Ribosomal_L17,,50S ribosomal protein L17 [rplQ]
Q72I53	3,,393,,MF_00086,,S_AdoMet_synth1,,S-adenosylmethionine synthase [metK]
Q72ID4	N/A,,N/A,,N/A,,N/A
Q72II3	N/A,,N/A,,N/A,,N/A
Q72IJ6	N/A,,N/A,,N/A,,N/A
Q72IN0	12,,547,,MF_01227,,PyrG,,CTP synthase [pyrG]
Q72IR9	N/A,,N/A,,N/A,,N/A
Q72IV2	N/A,,N/A,,N/A,,N/A
Q72IW9	N/A,,N/A,,N/A,,N/A
Q72IY9	N/A,,N/A,,N/A,,N/A
Q72J52	2,,186,,MF_00839,,HPF,,Ribosome hibernation promoting factor [hpf]
Q72JG7	3,,862,,MF_02004,,Val_tRNA_synth_type1,,Valine--tRNA ligase [valS]
Q72JH2	N/A,,N/A,,N/A,,N/A
Q72JJ5	N/A,,N/A,,N/A,,N/A
Q72JN9	10,,223,,MF_01408,,ThyX,,Flavin-dependent thymidylate synthase [thyX]
Q72JS7	1,,430,,MF_01554_B,,GlmM,,Phosphoglucosamine mutase [glmM]
Q72K80	N/A,,N/A,,N/A,,N/A
Q72K94	19,,405,,MF_01107,,ArgD_aminotrans_3,,Acetylornithine/succinyldiaminopimelate aminotransferase [argD]
Q72KG7	N/A,,N/A,,N/A,,N/A
Q72KV7	N/A,,N/A,,N/A,,N/A
Q72L91	1,,287,,MF_01988,,Succ_CoA_alpha,,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial [SUCLG1]
Q72LA0	N/A,,N/A,,N/A,,N/A
Q72LE2	N/A,,N/A,,N/A,,N/A
Q72LH0	3,,208,,MF_00238,,Cytidyl_kinase_type1,,Cytidylate kinase [cmk]
Q72LH1	10,,426,,MF_00210,,EPSP_synth,,3-phosphoshikimate 1-carboxyvinyltransferase [aroA]
Q746M9	N/A,,N/A,,N/A,,N/A
Q746N1	N/A,,N/A,,N/A,,N/A
Q797B3	N/A,,N/A,,N/A,,N/A
Q79EE5	N/A,,N/A,,N/A,,N/A
Q79FL8	N/A,,N/A,,N/A,,N/A
Q79FP1	N/A,,N/A,,N/A,,N/A
Q79FP2	N/A,,N/A,,N/A,,N/A
Q79FV7	N/A,,N/A,,N/A,,N/A
Q79FW0	N/A,,N/A,,N/A,,N/A
Q79PF4	5,,515,,MF_01836,,KaiC,,Circadian clock protein kinase KaiC [kaiC]
Q7A4R9	N/A,,N/A,,N/A,,N/A
Q7AKG8	N/A,,N/A,,N/A,,N/A
Q7AKN8	7,,81,,MF_01217,,Acyl_carrier,,Acyl carrier protein [acpP]
Q7AKQ4	1,,72,,MF_02106,,Pup,,Prokaryotic ubiquitin-like protein Pup [pup]
Q7AKQ6	1,,234,,MF_00289_B,,Proteasome_A,,Proteasome subunit alpha [prcA]
Q7AKR9	N/A,,N/A,,N/A,,N/A
Q7AP59	N/A,,N/A,,N/A,,N/A
Q7AP65	N/A,,N/A,,N/A,,N/A
Q7APD8	N/A,,N/A,,N/A,,N/A
Q7BBW0	N/A,,N/A,,N/A,,N/A
Q7BC73	N/A,,N/A,,N/A,,N/A
Q7BSW5	N/A,,N/A,,N/A,,N/A
Q7CDZ7	N/A,,N/A,,N/A,,N/A
Q7CE61	N/A,,N/A,,N/A,,N/A
Q7CE65	N/A,,N/A,,N/A,,N/A
Q7D4L9	N/A,,N/A,,N/A,,N/A
Q7D5R0	N/A,,N/A,,N/A,,N/A
Q7D9D7	N/A,,N/A,,N/A,,N/A
Q7D9F6	N/A,,N/A,,N/A,,N/A
Q7D9S1	N/A,,N/A,,N/A,,N/A
Q7DB53	N/A,,N/A,,N/A,,N/A
Q7DB54	N/A,,N/A,,N/A,,N/A
Q7DB80	N/A,,N/A,,N/A,,N/A
Q7DB81	N/A,,N/A,,N/A,,N/A
Q7DBF3	N/A,,N/A,,N/A,,N/A
Q7DBF4	N/A,,N/A,,N/A,,N/A
Q7DBF5	3,,356,,MF_00955,,GDP_Man_dehydratase,,GDP-mannose 4,6-dehydratase [gmd]
Q7DBF6	3,,314,,MF_00956,,GDP_fucose_synth,,GDP-L-fucose synthase [fcl]
Q7DBF8	N/A,,N/A,,N/A,,N/A
Q7DBL5	N/A,,N/A,,N/A,,N/A
Q7DC32	N/A,,N/A,,N/A,,N/A
Q7DDR9	N/A,,N/A,,N/A,,N/A
Q7DFN2	N/A,,N/A,,N/A,,N/A
Q7LX34	N/A,,N/A,,N/A,,N/A
Q7LX61	N/A,,N/A,,N/A,,N/A
Q7LX66	N/A,,N/A,,N/A,,N/A
Q7LX68	N/A,,N/A,,N/A,,N/A
Q7LX71	N/A,,N/A,,N/A,,N/A
Q7LX77	N/A,,N/A,,N/A,,N/A
Q7LX81	N/A,,N/A,,N/A,,N/A
Q7LX98	N/A,,N/A,,N/A,,N/A
Q7LXD9	N/A,,N/A,,N/A,,N/A
Q7LXE1	N/A,,N/A,,N/A,,N/A
Q7LXE8	N/A,,N/A,,N/A,,N/A
Q7LXH4	N/A,,N/A,,N/A,,N/A
Q7LXI3	N/A,,N/A,,N/A,,N/A
Q7LXJ1	N/A,,N/A,,N/A,,N/A
Q7LXK8	N/A,,N/A,,N/A,,N/A
Q7LXM0	N/A,,N/A,,N/A,,N/A
Q7LXM4	N/A,,N/A,,N/A,,N/A
Q7LXN5	N/A,,N/A,,N/A,,N/A
Q7LXP0	N/A,,N/A,,N/A,,N/A
Q7LXP8	N/A,,N/A,,N/A,,N/A
Q7LXQ2	N/A,,N/A,,N/A,,N/A
Q7LXR4	7,,433,,MF_01931,,PurF,,Amidophosphoribosyltransferase [purF]
Q7LXR7	N/A,,N/A,,N/A,,N/A
Q7LXS7	N/A,,N/A,,N/A,,N/A
Q7LXS8	N/A,,N/A,,N/A,,N/A
Q7LXT3	N/A,,N/A,,N/A,,N/A
Q7LXU0	4,,139,,MF_01490,,HJ_Resolv_Hjc,,Holliday junction resolvase Hjc [hjc]
Q7LXU1	N/A,,N/A,,N/A,,N/A
Q7LXV0	N/A,,N/A,,N/A,,N/A
Q7LXV9	N/A,,N/A,,N/A,,N/A
Q7LXW0	N/A,,N/A,,N/A,,N/A
Q7LXW1	N/A,,N/A,,N/A,,N/A
Q7LXW8	N/A,,N/A,,N/A,,N/A
Q7LXX7	N/A,,N/A,,N/A,,N/A
Q7LY03	N/A,,N/A,,N/A,,N/A
Q7LYI9	1,,366,,MF_02127,,Glucose_DH,,Glucose 1-dehydrogenase [gdh]
Q7LYK3	N/A,,N/A,,N/A,,N/A
Q7M7K0	3,,439,,MF_01212,,dGTPase_type2,,Deoxyguanosinetriphosphate triphosphohydrolase-like protein
Q7M7K1	N/A,,N/A,,N/A,,N/A
Q7MBT7	N/A,,N/A,,N/A,,N/A
Q7MC40	N/A,,N/A,,N/A,,N/A
Q7MCQ4	N/A,,N/A,,N/A,,N/A
Q7MCZ7	N/A,,N/A,,N/A,,N/A
Q7MDA6	N/A,,N/A,,N/A,,N/A
Q7MDB5	N/A,,N/A,,N/A,,N/A
Q7MDF9	N/A,,N/A,,N/A,,N/A
Q7MDZ1	N/A,,N/A,,N/A,,N/A
Q7MER8	N/A,,N/A,,N/A,,N/A
Q7MET6	N/A,,N/A,,N/A,,N/A
Q7MEX9	N/A,,N/A,,N/A,,N/A
Q7MF23	N/A,,N/A,,N/A,,N/A
Q7MFB1	N/A,,N/A,,N/A,,N/A
Q7MFK7	N/A,,N/A,,N/A,,N/A
Q7MG94	1,,902,,MF_01247,,HTH_type_MalT,,HTH-type transcriptional regulator MalT [malT]
Q7MHJ1	N/A,,N/A,,N/A,,N/A
Q7MHJ4	4,,268,,MF_01925,,P5C_reductase,,Pyrroline-5-carboxylate reductase [proC]
Q7MHV6	22,,463,,MF_00957,,PolyA_pol,,Poly(A) polymerase I [pcnB]
Q7MI44	N/A,,N/A,,N/A,,N/A
Q7MI93	4,,498,,MF_00186,,Glycerol_kin,,Glycerol kinase [glpK]
Q7MIE0	N/A,,N/A,,N/A,,N/A
Q7MIU5	N/A,,N/A,,N/A,,N/A
Q7MJ80	N/A,,N/A,,N/A,,N/A
Q7MJS1	N/A,,N/A,,N/A,,N/A
Q7MKX5	N/A,,N/A,,N/A,,N/A
Q7MMH2	N/A,,N/A,,N/A,,N/A
Q7MMR2	N/A,,N/A,,N/A,,N/A
Q7MMU2	N/A,,N/A,,N/A,,N/A
Q7MN57	1,,149,,MF_00440,,NrdR,,Transcriptional repressor NrdR [nrdR]
Q7MNK1	N/A,,N/A,,N/A,,N/A
Q7MNP3	N/A,,N/A,,N/A,,N/A
Q7MNX7	2,,626,,MF_00938,,ParE_type1,,DNA topoisomerase 4 subunit B [parE]
Q7MNY1	N/A,,N/A,,N/A,,N/A
Q7MP86	9,,264,,MF_00607,,16SrRNA_methyltr_A,,Ribosomal RNA small subunit methyltransferase A [rsmA]
Q7MPQ9	N/A,,N/A,,N/A,,N/A
Q7TZN1	N/A,,N/A,,N/A,,N/A
Q7UAE6	1,,584,,MF_00044,,Asp_tRNA_synth_type1,,Aspartate--tRNA(Asp/Asn) ligase [aspS]
Q7UAH4	1,,406,,MF_01831,,SufS_aminotrans_5,,Cysteine desulfurase [sufS]
Q7UAV7	3,,248,,MF_01523,,16SrRNA_methyltr_J,,Ribosomal RNA small subunit methyltransferase J [rsmJ]
Q7UB34	22,,485,,MF_00435,,IlvC,,Ketol-acid reductoisomerase (NADP(+)) [ilvC]
Q7UBD3	1,,429,,MF_01856,,16SrRNA_methyltr_B,,Ribosomal RNA small subunit methyltransferase B [rsmB]
